objectname;uid_list;comparing_field;where_clause;cleanup
ACTIONSCFG;ACTIONSCFGID;;;
LAYOUT;LAYOUTID;;;
RSCONFIG;RSCONFIGID;;;
SCCONFIG;SCCONFIGID;;;
